state_name,delay_s,m1_disp_mm,m1_speed_mms,m2_disp_mm,m2_speed_mms,m3_disp_mm,m3_speed_mms,m4_disp_mm,m4_speed_mms,m5_disp_mm,m5_speed_mms,m6_disp_mm,m6_speed_mms
Home,1.5,0,20,0,20,0,20,0,20,0,20,0,20
S1_M1_Pull,2.0,30,25,0,25,0,20,0,20,0,20,0,20
S1_M2_Pull,2.0,0,25,30,25,0,20,0,20,0,20,0,20
S2_M3_Pull,2.0,0,20,0,20,30,25,0,25,0,20,0,20
S2_M4_Pull,2.0,0,20,0,20,0,25,30,25,0,20,0,20
S3_M5_Pull,2.0,0,20,0,20,0,20,0,20,30,25,0,25
S3_M6_Pull,2.0,0,20,0,20,0,20,0,20,0,25,30,25
Forward_Arc,2.5,20,20,0,20,20,20,0,20,20,20,0,20
Reverse_Arc,2.5,0,20,20,20,0,20,20,20,0,20,20,20
S_Curve_A,2.5,25,20,0,20,0,20,20,20,25,20,0,20
S_Curve_B,2.5,0,20,25,20,20,20,0,20,0,20,25,20
Home,1.0,0,30,0,30,0,30,0,30,0,30,0,30
