t_s,ref_x_mm,ref_y_mm,ref_psi_deg,pose_x_mm,pose_y_mm,pose_psi_deg,err_x_mm,err_y_mm,err_psi_deg
0.00000,240.00000,0.00000,0.00000,269.97271,-4.01422,-0.03044,29.97271,-4.01422,-0.03044
0.15000,240.00000,0.00000,0.00000,269.97021,-4.06265,-0.05275,29.97021,-4.06265,-0.05275
0.30000,240.00000,0.00000,0.00000,270.11410,-3.88472,-0.13798,30.11410,-3.88472,-0.13798
0.45000,240.00000,0.00000,0.00000,269.80577,-4.07316,-0.07837,29.80577,-4.07316,-0.07837
0.60000,240.00000,0.00000,0.00000,269.70185,-1.90471,0.17011,29.70185,-1.90471,0.17011
0.75000,240.00000,0.00000,0.00000,269.89202,-2.09202,0.21991,29.89202,-2.09202,0.21991
0.90000,240.00000,0.00000,0.00000,270.01441,0.94365,0.69547,30.01441,0.94365,0.69547
1.05000,240.00000,0.00000,0.00000,270.04961,1.06290,0.76731,30.04961,1.06290,0.76731
1.20000,240.00000,0.00000,0.00000,268.79567,5.11687,1.17041,28.79567,5.11687,1.17041
1.35000,240.00000,0.00000,0.00000,264.29720,10.21236,0.57097,24.29720,10.21236,0.57097
1.50000,240.00000,0.00000,0.00000,255.61480,17.33933,0.97044,15.61480,17.33933,0.97044
1.65000,240.00000,0.00000,0.00000,242.13972,24.19617,1.06148,2.13972,24.19617,1.06148
1.80000,240.00000,0.00000,0.00000,224.16642,27.88966,0.38286,-15.83358,27.88966,0.38286
1.95000,240.00000,0.00000,0.00000,221.04629,28.25124,1.06938,-18.95371,28.25124,1.06938
2.10000,240.00000,0.00000,0.00000,227.54587,27.27975,2.20000,-12.45413,27.27975,2.20000
2.25000,240.00000,0.00000,0.00000,234.43468,25.79631,3.51891,-5.56532,25.79631,3.51891
2.40000,240.00000,0.00000,0.00000,245.69458,21.98676,4.31299,5.69458,21.98676,4.31299
2.55000,240.00000,0.00000,0.00000,250.88577,9.57829,2.47260,10.88577,9.57829,2.47260
2.70000,240.00000,0.00000,0.00000,251.07241,7.48745,2.72990,11.07241,7.48745,2.72990
2.85000,240.00000,0.00000,0.00000,246.78097,-1.29235,0.40908,6.78097,-1.29235,0.40908
3.00000,240.00000,0.00000,0.00000,237.73374,-9.41624,-2.06535,-2.26626,-9.41624,-2.06535
3.15000,240.00000,0.00000,0.00000,233.17487,-12.58221,-3.54775,-6.82513,-12.58221,-3.54775
3.30000,240.00000,0.00000,0.00000,235.59517,-12.20700,-2.56052,-4.40483,-12.20700,-2.56052
3.45000,240.00000,0.00000,0.00000,239.22750,-10.86821,-2.00757,-0.77250,-10.86821,-2.00757
3.60000,240.00000,0.00000,0.00000,242.53359,-8.31720,-1.29881,2.53359,-8.31720,-1.29881
3.75000,240.00000,0.00000,0.00000,242.59917,-5.42034,-0.99472,2.59917,-5.42034,-0.99472
3.90000,240.00000,0.00000,0.00000,241.70837,-1.94020,-0.02283,1.70837,-1.94020,-0.02283
4.05000,240.00000,0.00000,0.00000,239.88026,-0.51490,-0.21838,-0.11974,-0.51490,-0.21838
4.20000,240.00000,0.00000,0.00000,238.74227,0.65163,-0.20366,-1.25773,0.65163,-0.20366
4.35000,240.00000,0.00000,0.00000,239.07328,0.95684,-0.20549,-0.92672,0.95684,-0.20549
4.50000,240.00000,0.00000,0.00000,239.61528,2.02212,0.52257,-0.38472,2.02212,0.52257
4.65000,240.00000,0.00000,0.00000,240.06130,1.48777,0.41120,0.06130,1.48777,0.41120
4.80000,240.00000,0.00000,0.00000,240.42210,0.87660,-0.04390,0.42210,0.87660,-0.04390
4.95000,240.00000,0.00000,0.00000,240.33379,1.12976,0.73972,0.33379,1.12976,0.73972
5.10000,240.00000,0.00000,0.00000,240.23523,0.40742,0.38047,0.23523,0.40742,0.38047
5.25000,240.00000,0.00000,0.00000,239.81975,0.04505,0.04568,-0.18025,0.04505,0.04568
5.40000,240.00000,0.00000,0.00000,239.59120,-0.13454,-0.31449,-0.40880,-0.13454,-0.31449
5.55000,240.00000,0.00000,0.00000,239.97114,-0.46464,-0.47221,-0.02886,-0.46464,-0.47221
5.70000,240.00000,0.00000,0.00000,240.29228,-0.04227,0.37497,0.29228,-0.04227,0.37497
5.85000,240.00000,0.00000,0.00000,240.19448,-0.00122,0.10320,0.19448,-0.00122,0.10320
6.00000,240.00000,0.00000,0.00000,240.04637,-0.13660,-0.22343,0.04637,-0.13660,-0.22343
6.15000,240.00000,0.00000,0.00000,239.64038,-0.40028,-0.51696,-0.35962,-0.40028,-0.51696
6.30000,240.00000,0.00000,0.00000,239.86042,0.20969,0.25697,-0.13958,0.20969,0.25697
6.45000,240.00000,0.00000,0.00000,239.94830,-0.13771,0.07851,-0.05170,-0.13771,0.07851
6.60000,240.00000,0.00000,0.00000,240.14536,0.00904,-0.16566,0.14536,0.00904,-0.16566
6.75000,240.00000,0.00000,0.00000,240.17766,-0.14840,-0.29447,0.17766,-0.14840,-0.29447
6.90000,240.00000,0.00000,0.00000,239.86123,0.37793,0.38572,-0.13877,0.37793,0.38572
7.05000,240.00000,0.00000,0.00000,240.15176,0.05720,0.12708,0.15176,0.05720,0.12708
7.20000,240.00000,0.00000,0.00000,240.05419,-0.21655,-0.30124,0.05419,-0.21655,-0.30124
7.35000,240.00000,0.00000,0.00000,239.91276,-0.44383,-0.29243,-0.08724,-0.44383,-0.29243
7.50000,240.00000,0.00000,0.00000,240.04341,0.25679,0.30697,0.04341,0.25679,0.30697
7.65000,240.00000,0.00000,0.00000,239.95275,0.07209,-0.00149,-0.04725,0.07209,-0.00149
7.80000,240.00000,0.00000,0.00000,240.00457,-0.12283,-0.21960,0.00457,-0.12283,-0.21960
7.95000,240.00000,0.00000,0.00000,239.63033,-0.22710,-0.37600,-0.36967,-0.22710,-0.37600
