t_s,ref_x_mm,ref_y_mm,ref_psi_deg,pose_x_mm,pose_y_mm,pose_psi_deg,err_x_mm,err_y_mm,err_psi_deg
0.00000,240.00000,0.00000,0.00000,269.96660,-3.87463,0.01497,29.96660,-3.87463,0.01497
0.15000,240.00000,0.00000,0.00000,270.12489,-3.97884,-0.10686,30.12489,-3.97884,-0.10686
0.30000,240.00000,0.00000,0.00000,269.90005,-3.89142,-0.13779,29.90005,-3.89142,-0.13779
0.45000,240.00000,0.00000,0.00000,269.84800,-3.93184,-0.03984,29.84800,-3.93184,-0.03984
0.60000,240.00000,0.00000,0.00000,270.03401,-4.10028,-0.05762,30.03401,-4.10028,-0.05762
0.75000,240.00000,0.00000,0.00000,270.06746,-4.05595,-0.10313,30.06746,-4.05595,-0.10313
0.90000,240.00000,0.00000,0.00000,269.93825,0.55560,0.72111,29.93825,0.55560,0.72111
1.05000,240.00000,0.00000,0.00000,269.78418,1.82552,0.99165,29.78418,1.82552,0.99165
1.20000,240.00000,0.00000,0.00000,269.79661,5.57222,1.55693,29.79661,5.57222,1.55693
1.35000,240.00000,0.00000,0.00000,269.92459,0.29869,-0.23685,29.92459,0.29869,-0.23685
1.50000,240.00000,0.00000,0.00000,269.35727,2.78537,0.23728,29.35727,2.78537,0.23728
1.65000,240.00000,0.00000,0.00000,266.97643,0.20404,0.24863,26.97643,0.20404,0.24863
1.80000,240.00000,0.00000,0.00000,261.42369,-5.96381,-1.07525,21.42369,-5.96381,-1.07525
1.95000,240.00000,0.00000,0.00000,250.64598,-12.52542,-0.85744,10.64598,-12.52542,-0.85744
2.10000,240.00000,0.00000,0.00000,235.50517,-19.40757,-1.76981,-4.49483,-19.40757,-1.76981
2.25000,240.00000,0.00000,0.00000,222.20411,-19.14438,-1.06865,-17.79589,-19.14438,-1.06865
2.40000,240.00000,0.00000,0.00000,222.05494,-16.12975,-0.32665,-17.94506,-16.12975,-0.32665
2.55000,240.00000,0.00000,0.00000,230.37033,-12.49015,-1.11861,-9.62967,-12.49015,-1.11861
2.70000,240.00000,0.00000,0.00000,238.01810,-8.01883,-0.80032,-1.98190,-8.01883,-0.80032
