t_s,ref_x_mm,ref_y_mm,ref_psi_deg,pose_x_mm,pose_y_mm,pose_psi_deg,err_x_mm,err_y_mm,err_psi_deg
0.00000,240.00000,0.00000,0.00000,240.01509,-0.01585,0.05123,0.01509,-0.01585,0.05123
0.20000,240.00000,0.00000,0.94232,243.67184,-0.31876,0.59401,3.67184,-0.31876,-0.34831
0.40000,240.00000,0.00000,1.88372,245.88919,-1.52381,0.34956,5.88919,-1.52381,-1.53416
0.60000,240.00000,0.00000,2.82325,243.91095,-1.78229,-0.22299,3.91095,-1.78229,-3.04624
0.80000,240.00000,0.00000,3.76000,240.68235,-1.32543,-1.05016,0.68235,-1.32543,-4.81016
1.00000,240.00000,0.00000,4.69303,238.62111,-0.89620,-0.90829,-1.37889,-0.89620,-5.60132
1.20000,240.00000,0.00000,5.62144,237.71461,-1.77710,-1.76413,-2.28539,-1.77710,-7.38557
1.40000,240.00000,0.00000,6.54430,238.38156,-2.47799,-0.86234,-1.61844,-2.47799,-7.40664
1.60000,240.00000,0.00000,7.46070,239.45477,-2.41239,0.84081,-0.54523,-2.41239,-6.61989
1.80000,240.00000,0.00000,8.36973,240.19250,-2.18471,2.99134,0.19250,-2.18471,-5.37839
2.00000,240.00000,0.00000,9.27051,240.72841,-1.67031,4.93353,0.72841,-1.67031,-4.33698
2.20000,240.00000,0.00000,10.16214,241.03099,-1.07375,6.67898,1.03099,-1.07375,-3.48316
2.40000,240.00000,0.00000,11.04374,240.66166,-0.60972,8.10707,0.66166,-0.60972,-2.93667
2.60000,240.00000,0.00000,11.91444,240.60512,-0.34393,9.34071,0.60512,-0.34393,-2.57372
2.80000,240.00000,0.00000,12.77338,240.24340,0.19712,10.24245,0.24340,0.19712,-2.53092
3.00000,240.00000,0.00000,13.61971,239.77932,0.41863,11.30502,-0.22068,0.41863,-2.31469
3.20000,240.00000,0.00000,14.45261,239.92717,0.40176,12.07253,-0.07283,0.40176,-2.38008
3.40000,240.00000,0.00000,15.27124,239.52103,0.16033,12.96813,-0.47897,0.16033,-2.30311
