t_s,ref_x_mm,ref_y_mm,ref_psi_deg,pose_x_mm,pose_y_mm,pose_psi_deg,err_x_mm,err_y_mm,err_psi_deg
0.00000,240.00000,0.00000,0.00000,240.01509,-0.01585,0.05123,0.01509,-0.01585,0.05123
0.20000,240.00000,0.00000,0.94232,243.67184,-0.31876,0.59401,3.67184,-0.31876,-0.34831
0.40000,240.00000,0.00000,1.88372,245.56565,-0.47740,0.39439,5.56565,-0.47740,-1.48932
0.60000,240.00000,0.00000,2.82325,247.54346,2.71281,1.90223,7.54346,2.71281,-0.92102
0.80000,240.00000,0.00000,3.76000,249.86804,4.35486,3.25532,9.86804,4.35486,-0.50467
1.00000,240.00000,0.00000,4.69303,252.51217,4.21267,4.63507,12.51217,4.21267,-0.05796
1.20000,240.00000,0.00000,5.62144,253.43812,4.01960,5.25016,13.43812,4.01960,-0.37128
1.40000,240.00000,0.00000,6.54430,253.35682,2.94607,5.44037,13.35682,2.94607,-1.10393
1.60000,240.00000,0.00000,7.46070,251.99645,-2.45981,4.39723,11.99645,-2.45981,-3.06346
1.80000,240.00000,0.00000,8.36973,248.14091,-5.21395,3.27749,8.14091,-5.21395,-5.09224
2.00000,240.00000,0.00000,9.27051,242.93289,-5.68976,2.17524,2.93289,-5.68976,-7.09527
2.20000,240.00000,0.00000,10.16214,238.21045,-6.45018,0.15525,-1.78955,-6.45018,-10.00689
2.40000,240.00000,0.00000,11.04374,236.37574,-6.35453,0.66139,-3.62426,-6.35453,-10.38234
2.60000,240.00000,0.00000,11.91444,238.16096,-5.95355,3.20868,-1.83904,-5.95355,-8.70575
2.80000,240.00000,0.00000,12.77338,240.46809,-4.80845,6.28612,0.46809,-4.80845,-6.48726
3.00000,240.00000,0.00000,13.61971,241.68038,-3.55160,9.27472,1.68038,-3.55160,-4.34499
3.20000,240.00000,0.00000,14.45261,242.10658,-2.28172,11.25530,2.10658,-2.28172,-3.19731
3.40000,240.00000,0.00000,15.27124,240.94867,-1.23256,12.69575,0.94867,-1.23256,-2.57549
