u1_mm,u2_mm,u3_mm,sim_x_mm,sim_y_mm,sim_psi_deg,pcc_x_mm,pcc_y_mm,pcc_psi_deg,err_mm
-4.0000,0.0000,0.0000,245.6756,-101.1278,-16.1208,244.3648,-102.7782,-17.8763,2.1076
-2.6667,0.0000,0.0000,259.0151,-68.7159,-10.4998,258.4211,-70.3032,-11.9175,1.6948
-1.3333,0.0000,0.0000,267.1936,-35.0171,-5.5386,267.0771,-35.6967,-5.9588,0.6894
0.0000,0.0000,0.0000,270.0000,0.0000,0.0000,270.0000,0.0000,0.0000,0.0000
1.3333,0.0000,0.0000,267.1936,35.0171,5.5386,267.0771,35.6967,5.9588,0.6894
2.6667,0.0000,0.0000,259.0151,68.7159,10.4998,258.4211,70.3032,11.9175,1.6948
4.0000,0.0000,0.0000,245.6756,101.1278,16.1208,244.3648,102.7782,17.8763,2.1076
0.0000,-4.0000,0.0000,248.9556,-77.1093,-16.2711,247.7897,-78.2577,-13.7510,1.6364
0.0000,-2.6667,0.0000,260.3700,-53.1759,-10.4161,259.9488,-53.8380,-9.1673,0.7847
0.0000,-1.3333,0.0000,267.5353,-27.2017,-4.9719,267.4598,-27.4285,-4.5837,0.2390
0.0000,0.0000,0.0000,270.0000,0.0000,0.0000,270.0000,0.0000,0.0000,0.0000
0.0000,1.3333,0.0000,267.5353,27.2017,4.9719,267.4598,27.4285,4.5837,0.2390
0.0000,2.6667,0.0000,260.3700,53.1759,10.4161,259.9488,53.8380,9.1673,0.7847
0.0000,4.0000,0.0000,248.9556,77.1093,16.2711,247.7897,78.2577,13.7510,1.6364
0.0000,0.0000,-4.0000,261.4726,-32.9635,-43.3368,260.7026,-34.1205,-45.8366,1.3899
0.0000,0.0000,-2.6667,266.0411,-22.8888,-29.2888,265.7936,-23.4365,-30.5577,0.6009
0.0000,0.0000,-1.3333,268.9709,-11.8093,-14.8560,268.9371,-11.9291,-15.2789,0.1244
0.0000,0.0000,0.0000,270.0000,0.0000,0.0000,270.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.3333,268.9709,11.8093,14.8560,268.9371,11.9291,15.2789,0.1244
0.0000,0.0000,2.6667,266.0411,22.8888,29.2888,265.7936,23.4365,30.5577,0.6009
0.0000,0.0000,4.0000,261.4726,32.9635,43.3368,260.7026,34.1205,45.8366,1.3899
-4.0000,-4.0000,-4.0000,177.4948,-182.2713,-73.0348,167.9096,-188.9660,-77.4639,11.6917
-4.0000,-4.0000,0.0000,203.0780,-163.8101,-33.0585,197.4341,-169.2274,-31.6273,7.8231
-4.0000,-4.0000,4.0000,217.5140,-135.2101,8.4576,212.5089,-137.9183,14.2094,5.6909
-4.0000,0.0000,-4.0000,228.8105,-129.9483,-58.4138,225.7938,-132.8015,-63.7129,4.1522
-4.0000,0.0000,0.0000,245.6756,-101.1278,-16.1208,244.3648,-102.7782,-17.8763,2.1076
-4.0000,0.0000,4.0000,247.2873,-70.2806,23.1479,245.1395,-67.3704,27.9603,3.6169
-4.0000,4.0000,-4.0000,249.7924,-56.0536,-39.0084,244.8297,-56.9019,-49.9619,5.0347
-4.0000,4.0000,0.0000,252.1349,-23.7899,2.6097,249.2146,-22.7006,-4.1253,3.1169
-4.0000,4.0000,4.0000,243.7304,-0.8243,33.4228,235.2151,9.8891,41.7113,13.6853
0.0000,-4.0000,-4.0000,229.0784,-101.9684,-56.6112,225.0956,-105.5529,-59.5876,5.3583
0.0000,-4.0000,0.0000,248.9556,-77.1093,-16.2711,247.7897,-78.2577,-13.7510,1.6364
0.0000,-4.0000,4.0000,255.1740,-45.8694,25.0023,253.3267,-44.0833,32.0856,2.5696
0.0000,0.0000,-4.0000,261.4726,-32.9635,-43.3368,260.7026,-34.1205,-45.8366,1.3899
0.0000,0.0000,0.0000,270.0000,0.0000,0.0000,270.0000,0.0000,0.0000,0.0000
0.0000,0.0000,4.0000,261.4726,32.9635,43.3368,260.7026,34.1205,45.8366,1.3899
0.0000,4.0000,-4.0000,255.1740,45.8694,-25.0023,253.3267,44.0833,-32.0856,2.5696
0.0000,4.0000,0.0000,248.9556,77.1093,16.2711,247.7897,78.2577,13.7510,1.6364
0.0000,4.0000,4.0000,229.0784,101.9684,56.6112,225.0956,105.5529,59.5876,5.3583
4.0000,-4.0000,-4.0000,243.7304,0.8243,-33.4228,235.2151,-9.8891,-41.7113,13.6853
4.0000,-4.0000,0.0000,252.1349,23.7899,-2.6097,249.2146,22.7006,4.1253,3.1169
4.0000,-4.0000,4.0000,249.7924,56.0536,39.0084,244.8297,56.9019,49.9619,5.0347
4.0000,0.0000,-4.0000,247.2873,70.2806,-23.1479,245.1395,67.3704,-27.9603,3.6169
4.0000,0.0000,0.0000,245.6756,101.1278,16.1208,244.3648,102.7782,17.8763,2.1076
4.0000,0.0000,4.0000,228.8105,129.9483,58.4138,225.7938,132.8015,63.7129,4.1522
4.0000,4.0000,-4.0000,217.5140,135.2101,-8.4576,212.5089,137.9183,-14.2094,5.6909
4.0000,4.0000,0.0000,203.0780,163.8101,33.0585,197.4341,169.2274,31.6273,7.8231
4.0000,4.0000,4.0000,177.4948,182.2713,73.0348,167.9096,188.9660,77.4639,11.6917
