t_s,ref_x_mm,ref_y_mm,pose_x_mm,pose_y_mm,err_mm,u1_mm,u2_mm,u3_mm
0.0000,260.0000,0.0000,270.0000,0.0000,10.0000,0.0000,0.0000,0.0000
0.2000,259.9901,1.8846,270.0000,0.0000,10.1857,0.0000,0.0000,0.0000
0.4000,259.9605,3.7674,269.9980,0.9349,10.4294,0.0253,0.0194,-0.0157
0.6000,259.9112,5.6465,269.9870,2.3612,10.5978,0.0580,0.0567,-0.0398
0.8000,259.8423,7.5200,269.9602,4.0452,10.6979,0.0798,0.1224,-0.0683
1.0000,259.7538,9.3861,269.8807,5.8760,10.7180,0.0140,0.3099,-0.0997
1.2000,259.6457,11.2429,268.9101,7.7387,9.9049,-0.5232,1.1145,-0.1377
1.4000,259.5183,13.0886,264.0717,9.3167,5.9128,-1.5599,2.5756,-0.1940
1.6000,259.3717,14.9214,259.3252,10.8624,4.0593,-2.1523,3.4735,-0.2723
1.8000,259.2059,16.7395,259.4330,12.8045,3.9415,-2.0658,3.4845,-0.3288
2.0000,259.0211,18.5410,259.1927,14.6732,3.8716,-2.0228,3.5447,-0.3745
2.2000,258.8176,20.3243,259.0123,16.5205,3.8087,-1.9717,3.5909,-0.4151
2.4000,258.5955,22.0875,258.8065,18.3413,3.7522,-1.9230,3.6373,-0.4518
2.6000,258.3551,23.8289,258.5867,20.1387,3.6974,-1.8752,3.6827,-0.4866
2.8000,258.0965,25.5468,258.3516,21.9131,3.6426,-1.8282,3.7277,-0.5201
3.0000,257.8201,27.2394,258.1012,23.6637,3.5868,-1.7822,3.7726,-0.5529
3.2000,257.5261,28.9052,257.8355,25.3895,3.5293,-1.7372,3.8174,-0.5852
3.4000,257.2148,30.5425,257.5548,27.0891,3.4701,-1.6933,3.8623,-0.6171
3.6000,256.8866,32.1496,257.2593,28.7611,3.4089,-1.6507,3.9074,-0.6485
3.8000,256.5416,33.7250,256.9490,30.4039,3.3460,-1.6094,3.9526,-0.6795
4.0000,256.1803,35.2671,256.6241,32.0161,3.2812,-1.5695,3.9982,-0.7101
4.2000,255.8031,36.7744,256.2849,33.5959,3.2149,-1.5312,4.0442,-0.7403
4.4000,255.4103,38.2454,255.9315,35.1421,3.1468,-1.4945,4.0907,-0.7700
4.6000,255.0022,39.6787,255.5641,36.6531,3.0774,-1.4597,4.1378,-0.7994
4.8000,254.5794,41.0728,255.1829,38.1274,3.0066,-1.4267,4.1855,-0.8282
5.0000,254.1421,42.4264,254.7880,39.5638,2.9346,-1.3958,4.2339,-0.8566
5.2000,253.6909,43.7381,254.3796,40.9608,2.8614,-1.3670,4.2832,-0.8845
5.4000,253.2262,45.0067,253.9580,42.3171,2.7873,-1.3405,4.3333,-0.9119
5.6000,252.7485,46.2308,253.5234,43.6316,2.7123,-1.3164,4.3845,-0.9388
5.8000,252.2581,47.4093,253.0759,44.9029,2.6364,-1.2946,4.4367,-0.9652
6.0000,251.7557,48.5410,252.6159,46.1299,2.5599,-1.2754,4.4900,-0.9910
6.2000,251.2417,49.6248,252.1435,47.3116,2.4828,-1.2589,4.5445,-1.0163
6.4000,250.7165,50.6597,251.6590,48.4467,2.4053,-1.2450,4.6002,-1.0411
6.6000,250.1808,51.6445,251.1627,49.5343,2.3275,-1.2339,4.6572,-1.0653
6.8000,249.6351,52.5784,250.6550,50.5732,2.2497,-1.2256,4.7155,-1.0890
7.0000,249.0798,53.4604,250.1361,51.5632,2.1714,-1.2202,4.7751,-1.1121
7.2000,248.5156,54.2896,249.6065,52.5026,2.0937,-1.2177,4.8360,-1.1346
7.4000,247.9430,55.0653,249.0666,53.3912,2.0162,-1.2181,4.8983,-1.1565
7.6000,247.3625,55.7866,248.5138,54.2253,1.9399,-1.2219,4.9623,-1.1777
7.8000,246.7748,56.4528,247.9481,55.0032,1.8650,-1.2293,5.0282,-1.1984
8.0000,246.1803,57.0634,247.3720,55.7256,1.7916,-1.2398,5.0956,-1.2185
8.2000,245.5798,57.6176,246.7874,56.3923,1.7204,-1.2535,5.1642,-1.2379
8.4000,244.9738,58.1150,246.1955,57.0030,1.6519,-1.2701,5.2339,-1.2566
8.6000,244.3629,58.5550,245.5970,57.5574,1.5869,-1.2897,5.3045,-1.2746
8.8000,243.7476,58.9372,244.9928,58.0549,1.5261,-1.3122,5.3761,-1.2919
9.0000,243.1287,59.2613,244.3836,58.4951,1.4703,-1.3376,5.4485,-1.3085
9.2000,242.5067,59.5269,243.7700,58.8776,1.4204,-1.3658,5.5217,-1.3243
9.4000,241.8822,59.7337,243.1525,59.2019,1.3771,-1.3969,5.5954,-1.3394
9.6000,241.2558,59.8816,242.5318,59.4679,1.3414,-1.4308,5.6698,-1.3537
9.8000,240.6282,59.9704,241.9086,59.6752,1.3140,-1.4675,5.7446,-1.3672
10.0000,240.0000,60.0000,241.2835,59.8236,1.2956,-1.5069,5.8199,-1.3799
10.2000,239.3718,59.9704,240.6571,59.9130,1.2866,-1.5491,5.8954,-1.3918
10.4000,238.7442,59.8816,240.0299,59.9433,1.2872,-1.5938,5.9711,-1.4029
10.6000,238.1178,59.7337,239.4027,59.9145,1.2975,-1.6412,6.0469,-1.4131
10.8000,237.4933,59.5269,238.7760,59.8265,1.3172,-1.6911,6.1226,-1.4224
11.0000,236.8713,59.2613,238.1504,59.6796,1.3458,-1.7435,6.1983,-1.4309
11.2000,236.2524,58.9372,237.5267,59.4738,1.3826,-1.7984,6.2737,-1.4384
11.4000,235.6371,58.5550,236.9053,59.2092,1.4270,-1.8557,6.3487,-1.4450
11.6000,235.0262,58.1150,236.2869,58.8863,1.4780,-1.9153,6.4233,-1.4507
11.8000,234.4202,57.6176,235.6722,58.5054,1.5348,-1.9772,6.4973,-1.4554
12.0000,233.8197,57.0634,235.0617,58.0666,1.5966,-2.0413,6.5705,-1.4591
