t_s,ref_x_mm,ref_y_mm,ref_psi_deg,pose_x_mm,pose_y_mm,pose_psi_deg,err_x_mm,err_y_mm,err_psi_deg
0.0000,260.0000,0.0000,0.0000,270.0000,0.0000,0.0000,-10.0000,0.0000,0.0000
0.2000,259.9901,1.8846,0.0000,270.0000,0.0000,0.0000,-10.0099,1.8846,0.0000
0.4000,259.9605,3.7674,0.0000,269.9980,0.9287,0.0023,-10.0375,2.8387,-0.0023
0.6000,259.9112,5.6465,0.0000,269.9871,2.3505,0.0065,-10.0758,3.2960,-0.0065
0.8000,259.8423,7.5200,0.0000,269.9550,4.0490,0.0233,-10.1127,3.4710,-0.0233
1.0000,259.7538,9.3861,0.0000,269.5186,5.8988,0.2421,-9.7648,3.4873,-0.2421
1.2000,259.6457,11.2429,0.0000,265.8009,7.2746,1.6019,-6.1552,3.9683,-1.6019
1.4000,259.5183,13.0886,0.0000,260.3036,8.4140,2.8599,-0.7853,4.6746,-2.8599
1.6000,259.3717,14.9214,0.0000,259.5362,10.5010,1.8294,-0.1646,4.4204,-1.8294
1.8000,259.2059,16.7395,0.0000,259.3981,12.5803,1.0318,-0.1922,4.1592,-1.0318
2.0000,259.0211,18.5410,0.0000,259.2011,14.5409,0.6086,-0.1800,4.0001,-0.6086
2.2000,258.8176,20.3243,0.0000,259.0069,16.4365,0.3696,-0.1893,3.8878,-0.3696
2.4000,258.5955,22.0875,0.0000,258.8022,18.2854,0.2375,-0.2067,3.8021,-0.2375
2.6000,258.3551,23.8289,0.0000,258.5843,20.0989,0.1654,-0.2292,3.7300,-0.1654
2.8000,258.0965,25.5468,0.0000,258.3519,21.8828,0.1271,-0.2553,3.6640,-0.1271
3.0000,257.8201,27.2394,0.0000,258.1045,23.6394,0.1078,-0.2844,3.6000,-0.1078
3.2000,257.5261,28.9052,0.0000,257.8421,25.3694,0.0993,-0.3160,3.5358,-0.0993
3.4000,257.2148,30.5425,0.0000,257.5647,27.0723,0.0969,-0.3498,3.4702,-0.0969
3.6000,256.8866,32.1496,0.0000,257.2723,28.7469,0.0980,-0.3857,3.4027,-0.0980
3.8000,256.5416,33.7250,0.0000,256.9651,30.3920,0.1014,-0.4235,3.3330,-0.1014
4.0000,256.1803,35.2671,0.0000,256.6433,32.0062,0.1061,-0.4630,3.2609,-0.1061
4.2000,255.8031,36.7744,0.0000,256.3071,33.5879,0.1117,-0.5040,3.1865,-0.1117
4.4000,255.4103,38.2454,0.0000,255.9567,35.1357,0.1180,-0.5465,3.1097,-0.1180
4.6000,255.0022,39.6787,0.0000,255.5924,36.6482,0.1249,-0.5902,3.0306,-0.1249
4.8000,254.5794,41.0728,0.0000,255.2143,38.1238,0.1324,-0.6349,2.9490,-0.1324
5.0000,254.1421,42.4264,0.0000,254.8226,39.5612,0.1403,-0.6805,2.8652,-0.1403
5.2000,253.6909,43.7381,0.0000,254.4177,40.9591,0.1487,-0.7268,2.7790,-0.1487
5.4000,253.2262,45.0067,0.0000,253.9998,42.3162,0.1575,-0.7736,2.6904,-0.1575
5.6000,252.7485,46.2308,0.0000,253.5692,43.6313,0.1667,-0.8207,2.5995,-0.1667
5.8000,252.2581,47.4093,0.0000,253.1260,44.9030,0.1764,-0.8679,2.5063,-0.1764
6.0000,251.7557,48.5410,0.0000,252.6707,46.1303,0.1865,-0.9150,2.4107,-0.1865
6.2000,251.2417,49.6248,0.0000,252.2036,47.3121,0.1969,-0.9619,2.3127,-0.1969
6.4000,250.7165,50.6597,0.0000,251.7249,48.4472,0.2078,-1.0083,2.2125,-0.2078
6.6000,250.1808,51.6445,0.0000,251.2350,49.5346,0.2190,-1.0541,2.1099,-0.2190
6.8000,249.6351,52.5784,0.0000,250.7343,50.5735,0.2306,-1.0992,2.0049,-0.2306
7.0000,249.0798,53.4604,0.0000,250.2232,51.5629,0.2425,-1.1434,1.8975,-0.2425
7.2000,248.5156,54.2896,0.0000,249.7021,52.5020,0.2547,-1.1866,1.7876,-0.2547
7.4000,247.9430,55.0653,0.0000,249.1716,53.3900,0.2671,-1.2286,1.6752,-0.2671
7.6000,247.3625,55.7866,0.0000,248.6320,54.2262,0.2797,-1.2695,1.5604,-0.2797
7.8000,246.7748,56.4528,0.0000,248.0840,55.0100,0.2924,-1.3093,1.4429,-0.2924
8.0000,246.1803,57.0634,0.0000,247.5274,55.7398,0.3057,-1.3470,1.3236,-0.3057
8.2000,245.5798,57.6176,0.0000,246.9587,56.4099,0.3209,-1.3789,1.2077,-0.3209
8.4000,244.9738,58.1150,0.0000,246.3806,57.0225,0.3364,-1.4068,1.0925,-0.3364
8.6000,244.3629,58.5550,0.0000,245.7947,57.5779,0.3517,-1.4318,0.9771,-0.3517
8.8000,243.7476,58.9372,0.0000,245.2022,58.0763,0.3665,-1.4546,0.8610,-0.3665
9.0000,243.1287,59.2613,0.0000,244.6044,58.5172,0.3808,-1.4757,0.7441,-0.3808
9.2000,242.5067,59.5269,0.0000,244.0020,58.9004,0.3948,-1.4953,0.6265,-0.3948
9.4000,241.8822,59.7337,0.0000,243.3957,59.2257,0.4084,-1.5135,0.5080,-0.4084
9.6000,241.2558,59.8816,0.0000,242.7863,59.4926,0.4218,-1.5305,0.3890,-0.4218
9.8000,240.6282,59.9704,0.0000,242.1745,59.7010,0.4349,-1.5462,0.2694,-0.4349
10.0000,240.0000,60.0000,0.0000,241.5607,59.8507,0.4478,-1.5607,0.1493,-0.4478
10.2000,239.3718,59.9704,0.0000,240.9458,59.9416,0.4605,-1.5740,0.0288,-0.4605
10.4000,238.7442,59.8816,0.0000,240.3302,59.9734,0.4729,-1.5860,-0.0918,-0.4729
10.6000,238.1178,59.7337,0.0000,239.7145,59.9462,0.4850,-1.5967,-0.2125,-0.4850
10.8000,237.4933,59.5269,0.0000,239.0994,59.8600,0.4968,-1.6061,-0.3331,-0.4968
11.0000,236.8713,59.2613,0.0000,238.4855,59.7149,0.5083,-1.6141,-0.4536,-0.5083
11.2000,236.2524,58.9372,0.0000,237.8732,59.5111,0.5194,-1.6209,-0.5738,-0.5194
11.4000,235.6371,58.5550,0.0000,237.2634,59.2488,0.5301,-1.6262,-0.6937,-0.5301
11.6000,235.0262,58.1150,0.0000,236.6564,58.9279,0.5404,-1.6302,-0.8129,-0.5404
11.8000,234.4202,57.6176,0.0000,236.0528,58.5490,0.5501,-1.6326,-0.9314,-0.5501
12.0000,233.8197,57.0634,0.0000,235.4533,58.1124,0.5594,-1.6336,-1.0490,-0.5594
12.2000,233.2252,56.4528,0.0000,234.8584,57.6185,0.5680,-1.6331,-1.1656,-0.5680
12.4000,232.6375,55.7866,0.0000,234.2686,57.0677,0.5761,-1.6311,-1.2811,-0.5761
12.6000,232.0570,55.0653,0.0000,233.6846,56.4606,0.5835,-1.6276,-1.3953,-0.5835
12.8000,231.4844,54.2896,0.0000,233.1068,55.7976,0.5902,-1.6224,-1.5080,-0.5902
13.0000,230.9202,53.4604,0.0000,232.5359,55.0797,0.5961,-1.6157,-1.6193,-0.5961
13.2000,230.3649,52.5784,0.0000,231.9723,54.3070,0.6014,-1.6073,-1.7286,-0.6014
13.4000,229.8192,51.6445,0.0000,231.4165,53.4805,0.6058,-1.5973,-1.8359,-0.6058
13.6000,229.2835,50.6597,0.0000,230.8690,52.6009,0.6093,-1.5856,-1.9412,-0.6093
13.8000,228.7583,49.6248,0.0000,230.3305,51.6691,0.6120,-1.5721,-2.0443,-0.6120
14.0000,228.2443,48.5410,0.0000,229.8013,50.6860,0.6137,-1.5570,-2.1450,-0.6137
14.2000,227.7419,47.4093,0.0000,229.2820,49.6524,0.6144,-1.5401,-2.2431,-0.6144
14.4000,227.2515,46.2308,0.0000,228.7730,48.5694,0.6142,-1.5214,-2.3386,-0.6142
14.6000,226.7738,45.0067,0.0000,228.2747,47.4379,0.6129,-1.5010,-2.4312,-0.6129
14.8000,226.3091,43.7381,0.0000,227.7878,46.2590,0.6106,-1.4787,-2.5208,-0.6106
15.0000,225.8579,42.4264,0.0000,227.3125,45.0338,0.6072,-1.4546,-2.6074,-0.6072
15.2000,225.4206,41.0728,0.0000,226.8494,43.7638,0.6026,-1.4288,-2.6909,-0.6026
