t_s,ref_x_mm,ref_y_mm,ref_psi_deg,pose_x_mm,pose_y_mm,pose_psi_deg,err_x_mm,err_y_mm,err_psi_deg
0.0000,260.0000,0.0000,0.0000,270.0000,0.0000,0.0000,-10.0000,0.0000,0.0000
0.2000,259.9901,1.8846,0.0000,270.0000,0.0000,0.0000,-10.0099,1.8846,0.0000
0.4000,259.9605,3.7674,0.0000,269.9980,0.9287,0.0023,-10.0375,2.8387,-0.0023
0.6000,259.9112,5.6465,0.0000,269.9870,2.3560,0.0040,-10.0757,3.2905,-0.0040
0.8000,259.8423,7.5200,0.0000,269.9602,4.0439,0.0083,-10.1179,3.4761,-0.0083
1.0000,259.7538,9.3861,0.0000,269.8831,5.8910,0.0313,-10.1294,3.4951,-0.0313
1.2000,259.6457,11.2429,0.0000,269.0499,7.6989,0.2700,-9.4041,3.5440,-0.2700
1.4000,259.5183,13.0886,0.0000,264.7851,8.9216,1.3154,-5.2667,4.1670,-1.3154
1.6000,259.3717,14.9214,0.0000,259.9603,10.2075,1.9726,-0.5886,4.7139,-1.9726
1.8000,259.2059,16.7395,0.0000,259.3952,12.3684,1.1934,-0.1893,4.3710,-1.1934
2.0000,259.0211,18.5410,0.0000,259.2231,14.4404,0.6556,-0.2019,4.1006,-0.6556
2.2000,258.8176,20.3243,0.0000,259.0163,16.3874,0.3618,-0.1987,3.9369,-0.3618
2.4000,258.5955,22.0875,0.0000,258.8055,18.2632,0.1983,-0.2100,3.8243,-0.1983
2.6000,258.3551,23.8289,0.0000,258.5830,20.0903,0.1098,-0.2279,3.7386,-0.1098
2.8000,258.0965,25.5468,0.0000,258.3466,21.8808,0.0637,-0.2500,3.6659,-0.0637
3.0000,257.8201,27.2394,0.0000,258.0956,23.6407,0.0412,-0.2755,3.5987,-0.0412
3.2000,257.5261,28.9052,0.0000,257.8300,25.3722,0.0310,-0.3039,3.5330,-0.0310
3.4000,257.2148,30.5425,0.0000,257.5496,27.0757,0.0270,-0.3348,3.4668,-0.0270
3.6000,256.8866,32.1496,0.0000,257.2545,28.7505,0.0259,-0.3679,3.3991,-0.0259
3.8000,256.5416,33.7250,0.0000,256.9448,30.3956,0.0262,-0.4032,3.3294,-0.0262
4.0000,256.1803,35.2671,0.0000,256.6208,32.0095,0.0272,-0.4405,3.2576,-0.0272
4.2000,255.8031,36.7744,0.0000,256.2826,33.5908,0.0285,-0.4795,3.1836,-0.0285
4.4000,255.4103,38.2454,0.0000,255.9305,35.1382,0.0301,-0.5202,3.1073,-0.0301
4.6000,255.0022,39.6787,0.0000,255.5646,36.6501,0.0318,-0.5624,3.0286,-0.0318
4.8000,254.5794,41.0728,0.0000,255.1851,38.1251,0.0336,-0.6058,2.9477,-0.0336
5.0000,254.1421,42.4264,0.0000,254.7923,39.5620,0.0354,-0.6502,2.8645,-0.0354
5.2000,253.6909,43.7381,0.0000,254.3863,40.9593,0.0374,-0.6953,2.7789,-0.0374
5.4000,253.2262,45.0067,0.0000,253.9672,42.3158,0.0394,-0.7410,2.6909,-0.0394
5.6000,252.7485,46.2308,0.0000,253.5353,43.6302,0.0414,-0.7868,2.6006,-0.0414
5.8000,252.2581,47.4093,0.0000,253.0907,44.9015,0.0435,-0.8326,2.5078,-0.0435
6.0000,251.7557,48.5410,0.0000,252.6336,46.1284,0.0456,-0.8779,2.4126,-0.0456
6.2000,251.2417,49.6248,0.0000,252.1640,47.3098,0.0477,-0.9224,2.3150,-0.0477
6.4000,250.7165,50.6597,0.0000,251.6823,48.4449,0.0498,-0.9657,2.2147,-0.0498
6.6000,250.1808,51.6445,0.0000,251.1884,49.5324,0.0519,-1.0076,2.1121,-0.0519
6.8000,249.6351,52.5784,0.0000,250.6826,50.5716,0.0541,-1.0476,2.0068,-0.0541
7.0000,249.0798,53.4604,0.0000,250.1652,51.5615,0.0562,-1.0854,1.8989,-0.0562
7.2000,248.5156,54.2896,0.0000,249.6363,52.5014,0.0584,-1.1207,1.7882,-0.0584
7.4000,247.9430,55.0653,0.0000,249.0964,53.3907,0.0606,-1.1534,1.6746,-0.0606
7.6000,247.3625,55.7866,0.0000,248.5438,54.2248,0.0633,-1.1813,1.5618,-0.0633
7.8000,246.7748,56.4528,0.0000,247.9791,55.0028,0.0660,-1.2043,1.4501,-0.0660
8.0000,246.1803,57.0634,0.0000,247.4044,55.7252,0.0684,-1.2240,1.3382,-0.0684
8.2000,245.5798,57.6176,0.0000,246.8213,56.3920,0.0706,-1.2415,1.2256,-0.0706
8.4000,244.9738,58.1150,0.0000,246.2310,57.0029,0.0729,-1.2572,1.1121,-0.0729
8.6000,244.3629,58.5550,0.0000,245.6342,57.5574,0.0751,-1.2714,0.9976,-0.0751
8.8000,243.7476,58.9372,0.0000,245.0317,58.0551,0.0774,-1.2841,0.8822,-0.0774
9.0000,243.1287,59.2613,0.0000,244.4243,58.4953,0.0797,-1.2956,0.7660,-0.0797
9.2000,242.5067,59.5269,0.0000,243.8124,58.8779,0.0820,-1.3058,0.6490,-0.0820
9.4000,241.8822,59.7337,0.0000,243.1968,59.2024,0.0843,-1.3147,0.5313,-0.0843
9.6000,241.2558,59.8816,0.0000,242.5780,59.4687,0.0866,-1.3222,0.4130,-0.0866
9.8000,240.6282,59.9704,0.0000,241.9567,59.6762,0.0889,-1.3285,0.2942,-0.0889
10.0000,240.0000,60.0000,0.0000,241.3334,59.8250,0.0912,-1.3334,0.1750,-0.0912
10.2000,239.3718,59.9704,0.0000,240.7089,59.9146,0.0935,-1.3371,0.0558,-0.0935
10.4000,238.7442,59.8816,0.0000,240.0836,59.9452,0.0957,-1.3394,-0.0636,-0.0957
10.6000,238.1178,59.7337,0.0000,239.4582,59.9168,0.0979,-1.3404,-0.1831,-0.0979
10.8000,237.4933,59.5269,0.0000,238.8333,59.8292,0.1001,-1.3400,-0.3024,-0.1001
11.0000,236.8713,59.2613,0.0000,238.2096,59.6827,0.1021,-1.3383,-0.4214,-0.1021
11.2000,236.2524,58.9372,0.0000,237.5877,59.4773,0.1041,-1.3353,-0.5401,-0.1041
11.4000,235.6371,58.5550,0.0000,236.9682,59.2134,0.1060,-1.3310,-0.6584,-0.1060
11.6000,235.0262,58.1150,0.0000,236.3515,58.8908,0.1078,-1.3253,-0.7758,-0.1078
11.8000,234.4202,57.6176,0.0000,235.7385,58.5103,0.1095,-1.3183,-0.8927,-0.1095
12.0000,233.8197,57.0634,0.0000,235.1296,58.0720,0.1111,-1.3099,-1.0086,-0.1111
12.2000,233.2252,56.4528,0.0000,234.5255,57.5765,0.1126,-1.3002,-1.1236,-0.1126
12.4000,232.6375,55.7866,0.0000,233.9267,57.0241,0.1139,-1.2892,-1.2375,-0.1139
12.6000,232.0570,55.0653,0.0000,233.3340,56.4154,0.1150,-1.2769,-1.3501,-0.1150
12.8000,231.4844,54.2896,0.0000,232.7477,55.7511,0.1160,-1.2633,-1.4615,-0.1160
13.0000,230.9202,53.4604,0.0000,232.1686,55.0319,0.1168,-1.2484,-1.5715,-0.1168
13.2000,230.3649,52.5784,0.0000,231.5970,54.2579,0.1174,-1.2321,-1.6795,-0.1174
13.4000,229.8192,51.6445,0.0000,231.0337,53.4305,0.1179,-1.2145,-1.7860,-0.1179
13.6000,229.2835,50.6597,0.0000,230.4792,52.5504,0.1181,-1.1957,-1.8907,-0.1181
13.8000,228.7583,49.6248,0.0000,229.9339,51.6183,0.1181,-1.1756,-1.9934,-0.1181
14.0000,228.2443,48.5410,0.0000,229.3985,50.6351,0.1180,-1.1542,-2.0941,-0.1180
14.2000,227.7419,47.4093,0.0000,228.8735,49.6019,0.1175,-1.1316,-2.1926,-0.1175
14.4000,227.2515,46.2308,0.0000,228.3593,48.5196,0.1169,-1.1078,-2.2888,-0.1169
14.6000,226.7738,45.0067,0.0000,227.8565,47.3892,0.1160,-1.0827,-2.3826,-0.1160
14.8000,226.3091,43.7381,0.0000,227.3655,46.2119,0.1148,-1.0565,-2.4738,-0.1148
15.0000,225.8579,42.4264,0.0000,226.8869,44.9889,0.1134,-1.0290,-2.5625,-0.1134
15.2000,225.4206,41.0728,0.0000,226.4211,43.7215,0.1117,-1.0005,-2.6487,-0.1117
