t_s,ref_x_mm,ref_y_mm,pose_x_mm,pose_y_mm,err_mm,u1_mm,u2_mm,u3_mm
0.0000,260.0000,0.0000,270.0000,0.0000,10.0000,0.0000,0.0000,0.0000
0.2000,259.9901,1.8846,270.0000,0.0000,10.1857,0.0000,0.0000,0.0000
0.4000,259.9605,3.7674,269.9980,0.9287,10.4311,0.0253,0.0194,-0.0157
0.6000,259.9112,5.6465,269.9870,2.3560,10.5994,0.0583,0.0570,-0.0401
0.8000,259.8423,7.5200,269.9602,4.0439,10.6983,0.0810,0.1223,-0.0692
1.0000,259.7538,9.3861,269.8831,5.8910,10.7154,0.0199,0.3048,-0.1020
1.2000,259.6457,11.2429,269.0499,7.6989,10.0498,-0.4760,1.0584,-0.1484
1.4000,259.5183,13.0886,264.7851,8.9216,6.7158,-1.4895,2.5078,-0.2449
1.6000,259.3717,14.9214,259.9603,10.2075,4.7505,-2.1556,3.5470,-0.4016
1.8000,259.2059,16.7395,259.3952,12.3684,4.3751,-2.1371,3.7027,-0.5484
2.0000,259.0211,18.5410,259.2231,14.4404,4.1056,-2.0715,3.7683,-0.6489
2.2000,258.8176,20.3243,259.0163,16.3874,3.9419,-2.0149,3.8270,-0.7209
2.4000,258.5955,22.0875,258.8055,18.2632,3.8300,-1.9608,3.8783,-0.7767
2.6000,258.3551,23.8289,258.5830,20.0903,3.7455,-1.9091,3.9260,-0.8233
2.8000,258.0965,25.5468,258.3466,21.8808,3.6744,-1.8592,3.9720,-0.8647
3.0000,257.8201,27.2394,258.0956,23.6407,3.6093,-1.8107,4.0172,-0.9031
3.2000,257.5261,28.9052,257.8300,25.3722,3.5461,-1.7635,4.0619,-0.9399
3.4000,257.2148,30.5425,257.5496,27.0757,3.4829,-1.7177,4.1067,-0.9758
3.6000,256.8866,32.1496,257.2545,28.7505,3.4190,-1.6732,4.1517,-1.0112
3.8000,256.5416,33.7250,256.9448,30.3956,3.3538,-1.6301,4.1970,-1.0463
4.0000,256.1803,35.2671,256.6208,32.0095,3.2873,-1.5886,4.2427,-1.0811
4.2000,255.8031,36.7744,256.2826,33.5908,3.2195,-1.5486,4.2890,-1.1156
4.4000,255.4103,38.2454,255.9305,35.1382,3.1505,-1.5104,4.3359,-1.1500
4.6000,255.0022,39.6787,255.5646,36.6501,3.0804,-1.4741,4.3836,-1.1842
4.8000,254.5794,41.0728,255.1851,38.1251,3.0093,-1.4397,4.4321,-1.2182
5.0000,254.1421,42.4264,254.7923,39.5620,2.9373,-1.4074,4.4815,-1.2521
5.2000,253.6909,43.7381,254.3863,40.9593,2.8645,-1.3773,4.5320,-1.2858
5.4000,253.2262,45.0067,253.9672,42.3158,2.7911,-1.3495,4.5837,-1.3193
5.6000,252.7485,46.2308,253.5353,43.6302,2.7170,-1.3242,4.6366,-1.3527
5.8000,252.2581,47.4093,253.0907,44.9015,2.6424,-1.3013,4.6908,-1.3860
6.0000,251.7557,48.5410,252.6336,46.1284,2.5674,-1.2810,4.7465,-1.4192
6.2000,251.2417,49.6248,252.1640,47.3098,2.4920,-1.2635,4.8038,-1.4523
6.4000,250.7165,50.6597,251.6823,48.4449,2.4161,-1.2487,4.8627,-1.4853
6.6000,250.1808,51.6445,251.1884,49.5324,2.3401,-1.2368,4.9232,-1.5182
6.8000,249.6351,52.5784,250.6826,50.5716,2.2638,-1.2278,4.9856,-1.5511
7.0000,249.0798,53.4604,250.1652,51.5615,2.1872,-1.2218,5.0498,-1.5840
7.2000,248.5156,54.2896,249.6363,52.5014,2.1104,-1.2188,5.1158,-1.6168
7.4000,247.9430,55.0653,249.0964,53.3907,2.0334,-1.2189,5.1836,-1.6496
7.6000,247.3625,55.7866,248.5438,54.2248,1.9582,-1.2225,5.2538,-1.6824
7.8000,246.7748,56.4528,247.9791,55.0028,1.8850,-1.2296,5.3262,-1.7152
8.0000,246.1803,57.0634,247.4044,55.7252,1.8135,-1.2399,5.4005,-1.7480
8.2000,245.5798,57.6176,246.8213,56.3920,1.7445,-1.2533,5.4765,-1.7808
8.4000,244.9738,58.1150,246.2310,57.0029,1.6784,-1.2699,5.5541,-1.8134
8.6000,244.3629,58.5550,245.6342,57.5574,1.6161,-1.2894,5.6331,-1.8459
8.8000,243.7476,58.9372,245.0317,58.0551,1.5579,-1.3119,5.7135,-1.8783
9.0000,243.1287,59.2613,244.4243,58.4953,1.5051,-1.3374,5.7952,-1.9104
9.2000,242.5067,59.5269,243.8124,58.8779,1.4582,-1.3659,5.8781,-1.9424
9.4000,241.8822,59.7337,243.1968,59.2024,1.4180,-1.3972,5.9621,-1.9741
9.6000,241.2558,59.8816,242.5780,59.4687,1.3852,-1.4315,6.0471,-2.0056
9.8000,240.6282,59.9704,241.9567,59.6762,1.3607,-1.4686,6.1332,-2.0369
10.0000,240.0000,60.0000,241.3334,59.8250,1.3449,-1.5085,6.2201,-2.0678
10.2000,239.3718,59.9704,240.7089,59.9146,1.3383,-1.5512,6.3078,-2.0985
10.4000,238.7442,59.8816,240.0836,59.9452,1.3409,-1.5967,6.3961,-2.1288
10.6000,238.1178,59.7337,239.4582,59.9168,1.3528,-1.6449,6.4850,-2.1588
10.8000,237.4933,59.5269,238.8333,59.8292,1.3737,-1.6958,6.5744,-2.1884
11.0000,236.8713,59.2613,238.2096,59.6827,1.4031,-1.7492,6.6642,-2.2176
11.2000,236.2524,58.9372,237.5877,59.4773,1.4404,-1.8053,6.7541,-2.2463
11.4000,235.6371,58.5550,236.9682,59.2134,1.4850,-1.8639,6.8442,-2.2745
11.6000,235.0262,58.1150,236.3515,58.8908,1.5357,-1.9249,6.9343,-2.3022
11.8000,234.4202,57.6176,235.7385,58.5103,1.5921,-1.9884,7.0243,-2.3293
12.0000,233.8197,57.0634,235.1296,58.0720,1.6533,-2.0542,7.1140,-2.3558
