t_s,ref_x_mm,ref_y_mm,ref_psi_deg,pose_x_mm,pose_y_mm,pose_psi_deg,err_x_mm,err_y_mm,err_psi_deg
0.00000,260.00000,0.00000,0.00000,270.00000,0.00000,0.00000,10.00000,0.00000,0.00000
0.20000,259.99013,1.88465,0.00000,270.00000,0.00000,0.00000,10.00987,-1.88465,0.00000
0.40000,259.96053,3.76743,0.00000,269.99800,0.92873,0.00235,10.03746,-2.83870,0.00235
0.60000,259.91124,5.64650,0.00000,269.98699,2.35597,0.00404,10.07575,-3.29053,0.00404
0.80000,259.84229,7.51999,0.00000,269.96015,4.04388,0.00828,10.11786,-3.47611,0.00828
1.00000,259.75377,9.38607,0.00000,269.88312,5.89100,0.03126,10.12936,-3.49506,0.03126
1.20000,259.64575,11.24288,0.00000,269.04987,7.69886,0.27003,9.40413,-3.54402,0.27003
1.40000,259.51834,13.08859,0.00000,264.78508,8.92163,1.31543,5.26674,-4.16696,1.31543
1.60000,259.37166,14.92139,0.00000,259.96027,10.20751,1.97263,0.58861,-4.71388,1.97263
1.80000,259.20587,16.73947,0.00000,259.39517,12.36842,1.19344,0.18929,-4.37105,1.19344
2.00000,259.02113,18.54102,0.00000,259.22307,14.44041,0.65558,0.20194,-4.10061,0.65558
2.20000,258.81762,20.32428,0.00000,259.01627,16.38737,0.36179,0.19865,-3.93690,0.36179
2.40000,258.59553,22.08747,0.00000,258.80553,18.26321,0.19828,0.21000,-3.82426,0.19828
2.60000,258.35509,23.82887,0.00000,258.58297,20.09029,0.10985,0.22788,-3.73858,0.10985
2.80000,258.09654,25.54676,0.00000,258.34656,21.88083,0.06374,0.25002,-3.66593,0.06374
3.00000,257.82013,27.23943,0.00000,258.09559,23.64068,0.04123,0.27546,-3.59875,0.04123
3.20000,257.52613,28.90522,0.00000,257.83002,25.37219,0.03104,0.30388,-3.53303,0.03104
3.40000,257.21484,30.54248,0.00000,257.54962,27.07568,0.02700,0.33478,-3.46681,0.02700
3.60000,256.88656,32.14961,0.00000,257.25450,28.75050,0.02589,0.36795,-3.39910,0.02589
3.80000,256.54161,33.72500,0.00000,256.94483,30.39555,0.02618,0.40322,-3.32945,0.02618
4.00000,256.18034,35.26712,0.00000,256.62080,32.00948,0.02716,0.44046,-3.25764,0.02716
4.20000,255.80310,36.77442,0.00000,256.28262,33.59084,0.02850,0.47952,-3.18359,0.02850
4.40000,255.41026,38.24544,0.00000,255.93048,35.13818,0.03006,0.52022,-3.10726,0.03006
4.60000,255.00222,39.67871,0.00000,255.56459,36.65008,0.03175,0.56237,-3.02863,0.03175
4.80000,254.57937,41.07283,0.00000,255.18514,38.12512,0.03355,0.60577,-2.94770,0.03355
5.00000,254.14214,42.42641,0.00000,254.79230,39.56195,0.03543,0.65017,-2.86445,0.03543
5.20000,253.69094,43.73812,0.00000,254.38627,40.95925,0.03737,0.69533,-2.77886,0.03737
5.40000,253.22624,45.00666,0.00000,253.96722,42.31575,0.03937,0.74098,-2.69091,0.03937
5.60000,252.74848,46.23079,0.00000,253.53530,43.63023,0.04141,0.78682,-2.60057,0.04141
5.80000,252.25814,47.40930,0.00000,253.09070,44.90147,0.04347,0.83256,-2.50783,0.04347
6.00000,251.75571,48.54102,0.00000,252.63356,46.12837,0.04557,0.87786,-2.41265,0.04557
6.20000,251.24167,49.62483,0.00000,252.16405,47.30982,0.04767,0.92238,-2.31501,0.04767
6.40000,250.71654,50.65968,0.00000,251.68226,48.44494,0.04982,0.96572,-2.21474,0.04982
6.60000,250.18083,51.64452,0.00000,251.18841,49.53243,0.05195,1.00758,-2.11209,0.05195
6.80000,249.63507,52.57840,0.00000,250.68264,50.57158,0.05409,1.04757,-2.00682,0.05409
7.00000,249.07981,53.46039,0.00000,250.16517,51.56151,0.05625,1.08536,-1.89888,0.05625
7.20000,248.51559,54.28962,0.00000,249.63628,52.50143,0.05841,1.12070,-1.78819,0.05841
7.40000,247.94296,55.06528,0.00000,249.09636,53.39066,0.06059,1.15340,-1.67462,0.06059
7.60000,247.36249,55.78659,0.00000,248.54379,54.22482,0.06326,1.18130,-1.56177,0.06326
7.80000,246.77476,56.45285,0.00000,247.97909,55.00275,0.06595,1.20433,-1.45009,0.06595
8.00000,246.18034,57.06339,0.00000,247.40438,55.72523,0.06837,1.22404,-1.33816,0.06837
8.20000,245.57982,57.61762,0.00000,246.82131,56.39205,0.07065,1.24149,-1.22558,0.07065
8.40000,244.97380,58.11499,0.00000,246.23096,57.00293,0.07288,1.25716,-1.11206,0.07288
8.60000,244.36286,58.55501,0.00000,245.63422,57.55736,0.07511,1.27135,-0.99765,0.07511
8.80000,243.74763,58.93724,0.00000,245.03175,58.05506,0.07740,1.28412,-0.88217,0.07740
9.00000,243.12869,59.26130,0.00000,244.42431,58.49530,0.07967,1.29562,-0.76600,0.07967
9.20000,242.50666,59.52688,0.00000,243.81245,58.87790,0.08197,1.30578,-0.64898,0.08197
9.40000,241.88217,59.73372,0.00000,243.19684,59.20243,0.08427,1.31467,-0.53129,0.08427
9.60000,241.25581,59.88160,0.00000,242.57802,59.46865,0.08660,1.32221,-0.41295,0.08660
9.80000,240.62822,59.97039,0.00000,241.95669,59.67619,0.08891,1.32847,-0.29420,0.08891
10.00000,240.00000,60.00000,0.00000,241.33343,59.82496,0.09122,1.33343,-0.17504,0.09122
10.20000,239.37178,59.97039,0.00000,240.70888,59.91460,0.09347,1.33710,-0.05579,0.09347
10.40000,238.74419,59.88160,0.00000,240.08356,59.94523,0.09572,1.33937,0.06363,0.09572
10.60000,238.11783,59.73372,0.00000,239.45819,59.91680,0.09792,1.34035,0.18309,0.09792
10.80000,237.49334,59.52688,0.00000,238.83335,59.82924,0.10005,1.34001,0.30236,0.10005
11.00000,236.87131,59.26130,0.00000,238.20965,59.68271,0.10213,1.33834,0.42140,0.10213
11.20000,236.25237,58.93724,0.00000,237.58770,59.47732,0.10412,1.33533,0.54008,0.10412
11.40000,235.63714,58.55501,0.00000,236.96816,59.21341,0.10601,1.33102,0.65840,0.10601
11.60000,235.02620,58.11499,0.00000,236.35150,58.89081,0.10783,1.32530,0.77582,0.10783
11.80000,234.42018,57.61762,0.00000,235.73845,58.51028,0.10953,1.31828,0.89265,0.10953
12.00000,233.81966,57.06339,0.00000,235.12959,58.07203,0.11111,1.30993,1.00864,0.11111
12.20000,233.22524,56.45285,0.00000,234.52549,57.57648,0.11255,1.30025,1.12363,0.11255
12.40000,232.63751,55.78659,0.00000,233.92675,57.02410,0.11385,1.28924,1.23751,0.11385
12.60000,232.05704,55.06528,0.00000,233.33396,56.41541,0.11500,1.27691,1.35013,0.11500
12.80000,231.48441,54.28962,0.00000,232.74768,55.75110,0.11599,1.26327,1.46147,0.11599
13.00000,230.92019,53.46039,0.00000,232.16857,55.03189,0.11680,1.24838,1.57150,0.11680
13.20000,230.36493,52.57840,0.00000,231.59699,54.25790,0.11744,1.23207,1.67950,0.11744
13.40000,229.81917,51.64452,0.00000,231.03369,53.43054,0.11789,1.21452,1.78602,0.11789
13.60000,229.28346,50.65968,0.00000,230.47916,52.55039,0.11812,1.19569,1.89071,0.11812
13.80000,228.75833,49.62483,0.00000,229.93393,51.61828,0.11815,1.17560,1.99345,0.11815
14.00000,228.24429,48.54102,0.00000,229.39853,50.63510,0.11795,1.15424,2.09408,0.11795
14.20000,227.74186,47.40930,0.00000,228.87349,49.60190,0.11753,1.13163,2.19260,0.11753
14.40000,227.25152,46.23079,0.00000,228.35931,48.51958,0.11687,1.10779,2.28878,0.11687
14.60000,226.77376,45.00666,0.00000,227.85650,47.38923,0.11597,1.08273,2.38256,0.11597
14.80000,226.30906,43.73812,0.00000,227.36552,46.21191,0.11481,1.05646,2.47380,0.11481
15.00000,225.85786,42.42641,0.00000,226.88688,44.98890,0.11340,1.02902,2.56249,0.11340
15.20000,225.42063,41.07283,0.00000,226.42111,43.72150,0.11171,1.00048,2.64868,0.11171
15.40000,224.99778,39.67871,0.00000,225.96840,42.41025,0.10978,0.97062,2.73154,0.10978
15.60000,224.58974,38.24544,0.00000,225.52944,41.05721,0.10755,0.93970,2.81177,0.10755
15.80000,224.19690,36.77442,0.00000,225.10457,39.66343,0.10504,0.90767,2.88900,0.10504
16.00000,223.81966,35.26712,0.00000,224.69423,38.23034,0.10224,0.87457,2.96323,0.10224
16.20000,223.45839,33.72500,0.00000,224.29877,36.75927,0.09916,0.84038,3.03427,0.09916
16.40000,223.11344,32.14961,0.00000,223.91859,35.25169,0.09580,0.80515,3.10208,0.09580
16.60000,222.78516,30.54248,0.00000,223.55404,33.70906,0.09215,0.76888,3.16658,0.09215
16.80000,222.47387,28.90522,0.00000,223.20551,32.13302,0.08821,0.73164,3.22780,0.08821
17.00000,222.17987,27.23943,0.00000,222.87330,30.52503,0.08400,0.69343,3.28560,0.08400
17.20000,221.90346,25.54676,0.00000,222.55772,28.88667,0.07950,0.65426,3.33991,0.07950
17.40000,221.64491,23.82887,0.00000,222.25913,27.21969,0.07474,0.61422,3.39082,0.07474
17.60000,221.40447,22.08747,0.00000,221.97777,25.52565,0.06971,0.57330,3.43818,0.06971
17.80000,221.18238,20.32428,0.00000,221.71393,23.80627,0.06444,0.53155,3.48199,0.06444
18.00000,220.97887,18.54102,0.00000,221.46786,22.06324,0.05892,0.48899,3.52222,0.05892
18.20000,220.79413,16.73947,0.00000,221.23985,20.29842,0.05318,0.44573,3.55895,0.05318
18.40000,220.62834,14.92139,0.00000,221.03009,18.51346,0.04724,0.40175,3.59207,0.04724
18.60000,220.48166,13.08859,0.00000,220.83879,16.71018,0.04112,0.35712,3.62159,0.04112
