t_s,ref_x_mm,ref_y_mm,ref_psi_deg,pose_x_mm,pose_y_mm,pose_psi_deg,err_x_mm,err_y_mm,err_psi_deg
0.00000,240.00000,0.00000,0.00000,270.00000,0.00000,0.00000,30.00000,0.00000,0.00000
0.20000,240.00000,0.00000,0.94232,270.00000,0.00000,0.00000,30.00000,0.00000,-0.94232
0.40000,240.00000,0.00000,1.88372,269.99894,0.00764,0.46384,29.99894,0.00764,-1.41987
0.60000,240.00000,0.00000,2.82325,269.95664,0.01679,1.17565,29.95664,0.01679,-1.64760
0.80000,240.00000,0.00000,3.76000,257.59448,-1.05130,6.47774,17.59448,-1.05130,2.71774
1.00000,240.00000,0.00000,4.69303,231.41999,-2.50679,14.00722,-8.58001,-2.50679,9.31418
1.20000,240.00000,0.00000,5.62144,247.45577,-0.59784,4.70791,7.45577,-0.59784,-0.91353
1.40000,240.00000,0.00000,6.54430,234.42872,-1.31331,9.52134,-5.57128,-1.31331,2.97704
1.60000,240.00000,0.00000,7.46070,243.90300,-0.11478,5.05331,3.90300,-0.11478,-2.40738
1.80000,240.00000,0.00000,8.36973,237.90254,-0.49543,8.11318,-2.09746,-0.49543,-0.25655
2.00000,240.00000,0.00000,9.27051,240.87957,-0.05498,7.21254,0.87957,-0.05498,-2.05797
2.20000,240.00000,0.00000,10.16214,239.66644,-0.08816,8.48875,-0.33356,-0.08816,-1.67339
2.40000,240.00000,0.00000,11.04374,240.00095,0.00232,9.08064,0.00095,0.00232,-1.96309
2.60000,240.00000,0.00000,11.91444,239.91810,0.02517,9.93549,-0.08190,0.02517,-1.97895
2.80000,240.00000,0.00000,12.77338,239.91479,0.04236,10.77130,-0.08521,0.04236,-2.00207
3.00000,240.00000,0.00000,13.61971,239.90274,0.04976,11.62071,-0.09726,0.04976,-1.99901
3.20000,240.00000,0.00000,14.45261,239.89149,0.05200,12.46954,-0.10851,0.05200,-1.98307
3.40000,240.00000,0.00000,15.27124,239.88064,0.05122,13.31252,-0.11936,0.05122,-1.95872
3.60000,240.00000,0.00000,16.07480,239.87025,0.04877,14.14609,-0.12975,0.04877,-1.92871
3.80000,240.00000,0.00000,16.86250,239.86038,0.04545,14.96784,-0.13962,0.04545,-1.89466
4.00000,240.00000,0.00000,17.63356,239.85111,0.04177,15.77603,-0.14889,0.04177,-1.85753
4.20000,240.00000,0.00000,18.38721,239.84250,0.03803,16.56931,-0.15750,0.03803,-1.81790
4.40000,240.00000,0.00000,19.12272,239.83464,0.03448,17.34657,-0.16536,0.03448,-1.77615
4.60000,240.00000,0.00000,19.83936,239.82761,0.03121,18.10686,-0.17239,0.03121,-1.73249
4.80000,240.00000,0.00000,20.53641,239.82150,0.02831,18.84930,-0.17850,0.02831,-1.68711
5.00000,240.00000,0.00000,21.21320,239.81639,0.02585,19.57309,-0.18361,0.02585,-1.64011
5.20000,240.00000,0.00000,21.86906,239.81236,0.02386,20.27746,-0.18764,0.02386,-1.59159
5.40000,240.00000,0.00000,22.50333,239.80951,0.02240,20.96169,-0.19049,0.02240,-1.54164
5.60000,240.00000,0.00000,23.11540,239.80792,0.02147,21.62506,-0.19208,0.02147,-1.49034
5.80000,240.00000,0.00000,23.70465,239.80768,0.02115,22.26692,-0.19232,0.02115,-1.43774
6.00000,240.00000,0.00000,24.27051,239.80889,0.02144,22.88659,-0.19111,0.02144,-1.38392
6.20000,240.00000,0.00000,24.81242,239.81167,0.02240,23.48346,-0.18833,0.02240,-1.32895
6.40000,240.00000,0.00000,25.32984,239.81617,0.02406,24.05691,-0.18383,0.02406,-1.27293
6.60000,240.00000,0.00000,25.82226,239.82261,0.02654,24.60633,-0.17739,0.02654,-1.21593
6.80000,240.00000,0.00000,26.28920,239.83138,0.03004,25.13111,-0.16862,0.03004,-1.15809
7.00000,240.00000,0.00000,26.73020,239.84349,0.03514,25.63050,-0.15651,0.03514,-1.09969
7.20000,240.00000,0.00000,27.14481,239.85406,0.03838,26.10565,-0.14594,0.03838,-1.03916
7.40000,240.00000,0.00000,27.53264,239.86311,0.04004,26.55553,-0.13689,0.04004,-0.97711
7.60000,240.00000,0.00000,27.89329,239.87135,0.04071,26.97916,-0.12865,0.04071,-0.91413
7.80000,240.00000,0.00000,28.22642,239.87918,0.04069,27.37594,-0.12082,0.04069,-0.85048
8.00000,240.00000,0.00000,28.53170,239.88683,0.04017,27.74541,-0.11317,0.04017,-0.78628
8.20000,240.00000,0.00000,28.80881,239.89443,0.03922,28.08722,-0.10557,0.03922,-0.72159
8.40000,240.00000,0.00000,29.05749,239.90204,0.03786,28.40104,-0.09796,0.03786,-0.65646
8.60000,240.00000,0.00000,29.27750,239.90969,0.03616,28.68659,-0.09031,0.03616,-0.59091
8.80000,240.00000,0.00000,29.46862,239.91741,0.03416,28.94363,-0.08259,0.03416,-0.52499
9.00000,240.00000,0.00000,29.63065,239.92521,0.03180,29.17190,-0.07479,0.03180,-0.45875
9.20000,240.00000,0.00000,29.76344,239.93308,0.02916,29.37122,-0.06692,0.02916,-0.39222
9.40000,240.00000,0.00000,29.86686,239.94101,0.02625,29.54139,-0.05899,0.02625,-0.32547
9.60000,240.00000,0.00000,29.94080,239.94901,0.02314,29.68228,-0.05099,0.02314,-0.25852
9.80000,240.00000,0.00000,29.98520,239.95705,0.01981,29.79376,-0.04295,0.01981,-0.19143
10.00000,240.00000,0.00000,30.00000,239.96512,0.01637,29.87576,-0.03488,0.01637,-0.12424
10.20000,240.00000,0.00000,29.98520,239.97323,0.01268,29.92817,-0.02677,0.01268,-0.05703
10.40000,240.00000,0.00000,29.94080,239.98135,0.00896,29.95100,-0.01865,0.00896,0.01020
10.60000,240.00000,0.00000,29.86686,239.98947,0.00518,29.94423,-0.01053,0.00518,0.07737
10.80000,240.00000,0.00000,29.76344,239.99756,0.00132,29.90789,-0.00244,0.00132,0.14445
11.00000,240.00000,0.00000,29.63065,240.00563,-0.00260,29.84202,0.00563,-0.00260,0.21137
11.20000,240.00000,0.00000,29.46862,240.01368,-0.00643,29.74672,0.01368,-0.00643,0.27810
11.40000,240.00000,0.00000,29.27750,240.02166,-0.01022,29.62210,0.02166,-0.01022,0.34459
11.60000,240.00000,0.00000,29.05749,240.02958,-0.01394,29.46829,0.02958,-0.01394,0.41079
11.80000,240.00000,0.00000,28.80881,240.03742,-0.01753,29.28547,0.03742,-0.01753,0.47666
12.00000,240.00000,0.00000,28.53170,240.04518,-0.02098,29.07383,0.04518,-0.02098,0.54213
12.20000,240.00000,0.00000,28.22642,240.05283,-0.02425,28.83360,0.05283,-0.02425,0.60718
12.40000,240.00000,0.00000,27.89329,240.06038,-0.02730,28.56503,0.06038,-0.02730,0.67174
12.60000,240.00000,0.00000,27.53264,240.06779,-0.03017,28.26840,0.06779,-0.03017,0.73576
12.80000,240.00000,0.00000,27.14481,240.07509,-0.03271,27.94402,0.07509,-0.03271,0.79921
13.00000,240.00000,0.00000,26.73020,240.08224,-0.03496,27.59222,0.08224,-0.03496,0.86202
13.20000,240.00000,0.00000,26.28920,240.08923,-0.03690,27.21335,0.08923,-0.03690,0.92415
13.40000,240.00000,0.00000,25.82226,240.09607,-0.03852,26.80780,0.09607,-0.03852,0.98554
13.60000,240.00000,0.00000,25.32984,240.10274,-0.03977,26.37598,0.10274,-0.03977,1.04614
13.80000,240.00000,0.00000,24.81242,240.10924,-0.04065,25.91831,0.10924,-0.04065,1.10590
14.00000,240.00000,0.00000,24.27051,240.11556,-0.04112,25.43527,0.11556,-0.04112,1.16476
14.20000,240.00000,0.00000,23.70465,240.12168,-0.04119,24.92732,0.12168,-0.04119,1.22267
14.40000,240.00000,0.00000,23.11540,240.12762,-0.04083,24.39496,0.12762,-0.04083,1.27957
14.60000,240.00000,0.00000,22.50333,240.13336,-0.04005,23.83873,0.13336,-0.04005,1.33540
14.80000,240.00000,0.00000,21.86906,240.13888,-0.03882,23.25918,0.13888,-0.03882,1.39012
15.00000,240.00000,0.00000,21.21320,240.14421,-0.03714,22.65687,0.14421,-0.03714,1.44366
15.20000,240.00000,0.00000,20.53641,240.14933,-0.03504,22.03237,0.14933,-0.03504,1.49596
15.40000,240.00000,0.00000,19.83936,240.15423,-0.03249,21.38632,0.15423,-0.03249,1.54697
15.60000,240.00000,0.00000,19.12272,240.15891,-0.02951,20.71934,0.15891,-0.02951,1.59662
15.80000,240.00000,0.00000,18.38721,240.16338,-0.02610,20.03208,0.16338,-0.02610,1.64486
16.00000,240.00000,0.00000,17.63356,240.16763,-0.02225,19.32521,0.16763,-0.02225,1.69165
16.20000,240.00000,0.00000,16.86250,240.17165,-0.01799,18.59941,0.17165,-0.01799,1.73691
16.40000,240.00000,0.00000,16.07480,240.17546,-0.01334,17.85539,0.17546,-0.01334,1.78059
16.60000,240.00000,0.00000,15.27124,240.17904,-0.00832,17.09388,0.17904,-0.00832,1.82263
